User Principal Name,Outbound PSTN Calls 90d,Inbound PSTN Calls 90d,Last PSTN Call Date
phone-user000@acme.example,0,0,
phone-user001@acme.example,0,0,
phone-user002@acme.example,0,0,
phone-user003@acme.example,0,0,
phone-user004@acme.example,0,0,
phone-user005@acme.example,0,0,
phone-user006@acme.example,0,0,
phone-user007@acme.example,0,0,
phone-user008@acme.example,0,0,
phone-user009@acme.example,0,0,
phone-user010@acme.example,0,0,
phone-user011@acme.example,0,0,
phone-user012@acme.example,0,0,
phone-user013@acme.example,0,0,
phone-user014@acme.example,0,0,
phone-user015@acme.example,0,0,
phone-user016@acme.example,0,0,
phone-user017@acme.example,0,0,
phone-user018@acme.example,0,0,
phone-user019@acme.example,0,0,
phone-user020@acme.example,184,65,2026-03-12
phone-user021@acme.example,112,27,2026-03-05
phone-user022@acme.example,142,69,2026-02-18
phone-user023@acme.example,111,49,2026-02-13
phone-user024@acme.example,161,23,2026-03-25
phone-user025@acme.example,185,87,2026-04-06
phone-user026@acme.example,91,27,2026-02-07
phone-user027@acme.example,70,43,2026-04-07
phone-user028@acme.example,39,12,2026-02-11
phone-user029@acme.example,181,13,2026-02-01
phone-user030@acme.example,168,61,2026-01-31
phone-user031@acme.example,74,14,2026-02-05
phone-user032@acme.example,86,79,2026-02-06
phone-user033@acme.example,140,93,2026-03-28
phone-user034@acme.example,113,60,2026-03-19
phone-user035@acme.example,170,47,2026-03-30
phone-user036@acme.example,138,74,2026-02-10
phone-user037@acme.example,43,60,2026-03-01
phone-user038@acme.example,148,11,2026-03-17
phone-user039@acme.example,177,97,2026-03-26
phone-user040@acme.example,151,27,2026-02-18
phone-user041@acme.example,60,32,2026-02-03
phone-user042@acme.example,164,94,2026-03-29
phone-user043@acme.example,143,55,2026-04-11
phone-user044@acme.example,76,72,2026-03-18
phone-user045@acme.example,36,43,2026-02-28
phone-user046@acme.example,79,15,2026-03-21
phone-user047@acme.example,152,56,2026-02-26
phone-user048@acme.example,140,68,2026-04-11
phone-user049@acme.example,30,93,2026-03-06
