User Principal Name,Last Activity Date,Copilot Chat Count
copilot-user000@acme.example,,0
copilot-user001@acme.example,,0
copilot-user002@acme.example,,0
copilot-user003@acme.example,,0
copilot-user004@acme.example,,0
copilot-user005@acme.example,,0
copilot-user006@acme.example,,0
copilot-user007@acme.example,,0
copilot-user008@acme.example,,0
copilot-user009@acme.example,,0
copilot-user010@acme.example,,0
copilot-user011@acme.example,,0
copilot-user012@acme.example,,0
copilot-user013@acme.example,,0
copilot-user014@acme.example,,0
copilot-user015@acme.example,,0
copilot-user016@acme.example,,0
copilot-user017@acme.example,,0
copilot-user018@acme.example,,0
copilot-user019@acme.example,,0
copilot-user020@acme.example,,0
copilot-user021@acme.example,,0
copilot-user022@acme.example,,0
copilot-user023@acme.example,,0
copilot-user024@acme.example,,0
copilot-user025@acme.example,,0
copilot-user026@acme.example,,0
copilot-user027@acme.example,,0
copilot-user028@acme.example,,0
copilot-user029@acme.example,,0
copilot-user030@acme.example,,0
copilot-user031@acme.example,,0
copilot-user032@acme.example,,0
copilot-user033@acme.example,,0
copilot-user034@acme.example,,0
copilot-user035@acme.example,2026-04-12,79
copilot-user036@acme.example,2026-04-12,64
copilot-user037@acme.example,2026-04-15,65
copilot-user038@acme.example,2026-04-16,86
copilot-user039@acme.example,2026-04-07,79
copilot-user040@acme.example,2026-04-07,14
copilot-user041@acme.example,2026-04-09,29
copilot-user042@acme.example,2026-04-08,20
copilot-user043@acme.example,2026-04-10,72
copilot-user044@acme.example,2026-04-12,57
copilot-user045@acme.example,2026-04-16,24
copilot-user046@acme.example,2026-04-14,30
copilot-user047@acme.example,2026-04-11,57
copilot-user048@acme.example,2026-04-07,63
copilot-user049@acme.example,2026-04-14,45
copilot-user050@acme.example,2026-04-14,15
copilot-user051@acme.example,2026-04-09,47
copilot-user052@acme.example,2026-04-14,45
copilot-user053@acme.example,2026-04-16,5
copilot-user054@acme.example,2026-04-09,40
copilot-user055@acme.example,2026-04-13,26
copilot-user056@acme.example,2026-04-07,25
copilot-user057@acme.example,2026-04-09,16
copilot-user058@acme.example,2026-04-14,83
copilot-user059@acme.example,2026-04-10,86
copilot-user060@acme.example,2026-04-10,56
copilot-user061@acme.example,2026-04-10,66
copilot-user062@acme.example,2026-04-10,5
copilot-user063@acme.example,2026-04-16,73
copilot-user064@acme.example,2026-04-13,98
copilot-user065@acme.example,2026-04-11,6
copilot-user066@acme.example,2026-04-11,72
copilot-user067@acme.example,2026-04-13,7
copilot-user068@acme.example,2026-04-16,85
copilot-user069@acme.example,2026-04-13,33
copilot-user070@acme.example,2026-04-11,44
copilot-user071@acme.example,2026-04-14,18
copilot-user072@acme.example,2026-04-10,69
copilot-user073@acme.example,2026-04-07,44
copilot-user074@acme.example,2026-04-14,13
copilot-user075@acme.example,2026-04-16,43
copilot-user076@acme.example,2026-04-12,63
copilot-user077@acme.example,2026-04-08,81
copilot-user078@acme.example,2026-04-08,48
copilot-user079@acme.example,2026-04-10,92
copilot-user080@acme.example,2026-04-14,48
copilot-user081@acme.example,2026-04-09,50
copilot-user082@acme.example,2026-04-13,26
copilot-user083@acme.example,2026-04-10,7
copilot-user084@acme.example,2026-04-13,33
copilot-user085@acme.example,2026-04-14,32
copilot-user086@acme.example,2026-04-16,80
copilot-user087@acme.example,2026-04-08,26
copilot-user088@acme.example,2026-04-15,51
copilot-user089@acme.example,2026-04-16,53
copilot-user090@acme.example,2026-04-12,73
copilot-user091@acme.example,2026-04-07,11
copilot-user092@acme.example,2026-04-07,11
copilot-user093@acme.example,2026-04-15,88
copilot-user094@acme.example,2026-04-16,11
copilot-user095@acme.example,2026-04-15,58
copilot-user096@acme.example,2026-04-09,53
copilot-user097@acme.example,2026-04-15,75
copilot-user098@acme.example,2026-04-12,65
copilot-user099@acme.example,2026-04-14,31
