User Principal Name,Activated On Any Device,Activation Count,Last Activation Date
e5-user000@acme.example,Yes,3,2026-03-26
e5-user001@acme.example,Yes,3,2026-04-16
e5-user002@acme.example,Yes,2,2026-04-03
e5-user003@acme.example,Yes,3,2026-04-13
e5-user004@acme.example,Yes,3,2026-03-31
e5-user005@acme.example,Yes,2,2026-03-28
e5-user006@acme.example,Yes,3,2026-03-25
e5-user007@acme.example,Yes,1,2026-04-03
e5-user008@acme.example,Yes,1,2026-03-31
e5-user009@acme.example,Yes,3,2026-03-28
e5-user010@acme.example,Yes,1,2026-04-07
e5-user011@acme.example,Yes,1,2026-03-22
e5-user012@acme.example,Yes,1,2026-04-01
e5-user013@acme.example,Yes,1,2026-03-28
e5-user014@acme.example,Yes,1,2026-03-23
e5-user015@acme.example,Yes,2,2026-03-21
e5-user016@acme.example,Yes,3,2026-04-10
e5-user017@acme.example,Yes,2,2026-03-25
e5-user018@acme.example,Yes,2,2026-04-07
e5-user019@acme.example,Yes,1,2026-04-15
e5-user020@acme.example,Yes,3,2026-04-01
e5-user021@acme.example,Yes,1,2026-03-25
e5-user022@acme.example,Yes,2,2026-04-06
e5-user023@acme.example,Yes,1,2026-04-16
e5-user024@acme.example,Yes,1,2026-03-26
e5-user025@acme.example,Yes,1,2026-03-18
e5-user026@acme.example,Yes,1,2026-03-21
e5-user027@acme.example,Yes,3,2026-03-26
e5-user028@acme.example,Yes,2,2026-04-12
e5-user029@acme.example,Yes,1,2026-03-23
e5-user030@acme.example,Yes,3,2026-04-14
e5-user031@acme.example,Yes,3,2026-03-24
e5-user032@acme.example,Yes,1,2026-03-19
e5-user033@acme.example,Yes,2,2026-03-27
e5-user034@acme.example,Yes,1,2026-04-02
e5-user035@acme.example,Yes,2,2026-04-08
e5-user036@acme.example,Yes,2,2026-04-15
e5-user037@acme.example,Yes,1,2026-03-21
e5-user038@acme.example,Yes,1,2026-03-20
e5-user039@acme.example,Yes,1,2026-03-20
e5-user040@acme.example,Yes,2,2026-04-05
e5-user041@acme.example,Yes,3,2026-04-06
e5-user042@acme.example,Yes,2,2026-03-24
e5-user043@acme.example,Yes,1,2026-04-13
e5-user044@acme.example,Yes,1,2026-04-16
e5-user045@acme.example,Yes,1,2026-03-26
e5-user046@acme.example,Yes,3,2026-04-11
e5-user047@acme.example,Yes,2,2026-04-05
e5-user048@acme.example,Yes,2,2026-03-28
e5-user049@acme.example,Yes,2,2026-03-19
e5-user050@acme.example,Yes,3,2026-04-14
e5-user051@acme.example,Yes,2,2026-03-21
e5-user052@acme.example,Yes,2,2026-04-11
e5-user053@acme.example,Yes,1,2026-04-04
e5-user054@acme.example,Yes,2,2026-04-02
e5-user055@acme.example,Yes,2,2026-03-21
e5-user056@acme.example,Yes,2,2026-03-25
e5-user057@acme.example,Yes,2,2026-03-22
e5-user058@acme.example,Yes,2,2026-03-27
e5-user059@acme.example,Yes,1,2026-04-13
e5-user060@acme.example,Yes,1,2026-03-25
e5-user061@acme.example,Yes,3,2026-04-15
e5-user062@acme.example,Yes,1,2026-04-13
e5-user063@acme.example,Yes,2,2026-03-18
e5-user064@acme.example,Yes,3,2026-04-01
e5-user065@acme.example,Yes,3,2026-03-26
e5-user066@acme.example,Yes,2,2026-04-11
e5-user067@acme.example,Yes,3,2026-04-04
e5-user068@acme.example,Yes,2,2026-03-28
e5-user069@acme.example,Yes,1,2026-03-20
e5-user070@acme.example,Yes,3,2026-03-19
e5-user071@acme.example,Yes,3,2026-03-19
e5-user072@acme.example,Yes,1,2026-04-01
e5-user073@acme.example,Yes,2,2026-04-13
e5-user074@acme.example,Yes,2,2026-04-02
e5-user075@acme.example,Yes,1,2026-04-14
e5-user076@acme.example,Yes,2,2026-03-27
e5-user077@acme.example,Yes,2,2026-04-16
e5-user078@acme.example,Yes,3,2026-03-20
e5-user079@acme.example,Yes,3,2026-03-31
e5-user080@acme.example,Yes,3,2026-03-29
e5-user081@acme.example,Yes,3,2026-03-29
e5-user082@acme.example,Yes,1,2026-03-26
e5-user083@acme.example,Yes,2,2026-03-31
e5-user084@acme.example,Yes,3,2026-03-25
e5-user085@acme.example,Yes,3,2026-03-28
e5-user086@acme.example,Yes,1,2026-04-03
e5-user087@acme.example,Yes,3,2026-03-24
e5-user088@acme.example,Yes,1,2026-04-01
e5-user089@acme.example,Yes,2,2026-03-26
e5-user090@acme.example,Yes,3,2026-03-27
e5-user091@acme.example,Yes,2,2026-04-12
e5-user092@acme.example,Yes,3,2026-03-19
e5-user093@acme.example,Yes,3,2026-04-15
e5-user094@acme.example,Yes,1,2026-03-27
e5-user095@acme.example,Yes,1,2026-03-31
e5-user096@acme.example,Yes,2,2026-03-20
e5-user097@acme.example,Yes,2,2026-03-20
e5-user098@acme.example,Yes,1,2026-04-14
e5-user099@acme.example,Yes,2,2026-04-06
e3-user000@acme.example,No,0,
e3-user001@acme.example,No,0,
e3-user002@acme.example,No,0,
e3-user003@acme.example,No,0,
e3-user004@acme.example,No,0,
e3-user005@acme.example,No,0,
e3-user006@acme.example,No,0,
e3-user007@acme.example,No,0,
e3-user008@acme.example,No,0,
e3-user009@acme.example,No,0,
e3-user010@acme.example,No,0,
e3-user011@acme.example,No,0,
e3-user012@acme.example,No,0,
e3-user013@acme.example,No,0,
e3-user014@acme.example,No,0,
e3-user015@acme.example,No,0,
e3-user016@acme.example,No,0,
e3-user017@acme.example,No,0,
e3-user018@acme.example,No,0,
e3-user019@acme.example,No,0,
e3-user020@acme.example,No,0,
e3-user021@acme.example,No,0,
e3-user022@acme.example,No,0,
e3-user023@acme.example,No,0,
e3-user024@acme.example,No,0,
e3-user025@acme.example,No,0,
e3-user026@acme.example,No,0,
e3-user027@acme.example,No,0,
