User Principal Name,Last Activity Date,Mailbox Storage Used (Byte)
e5-user000@acme.example,2026-04-15,4194304000
e5-user001@acme.example,2026-04-13,4194304000
e5-user002@acme.example,2026-04-15,4194304000
e5-user003@acme.example,2026-04-08,4194304000
e5-user004@acme.example,2026-04-10,4194304000
e5-user005@acme.example,2026-04-07,4194304000
e5-user006@acme.example,2026-04-07,4194304000
e5-user007@acme.example,2026-04-07,4194304000
e5-user008@acme.example,2026-04-13,4194304000
e5-user009@acme.example,2026-04-08,4194304000
e5-user010@acme.example,2026-04-10,4194304000
e5-user011@acme.example,2026-04-09,4194304000
e5-user012@acme.example,2026-04-09,4194304000
e5-user013@acme.example,2026-04-12,4194304000
e5-user014@acme.example,2026-04-07,4194304000
e5-user015@acme.example,2026-04-10,4194304000
e5-user016@acme.example,2026-04-12,4194304000
e5-user017@acme.example,2026-04-07,4194304000
e5-user018@acme.example,2026-04-07,4194304000
e5-user019@acme.example,2026-04-16,4194304000
e5-user020@acme.example,2026-04-07,4194304000
e5-user021@acme.example,2026-04-15,4194304000
e5-user022@acme.example,2026-04-13,4194304000
e5-user023@acme.example,2026-04-13,4194304000
e5-user024@acme.example,2026-04-12,4194304000
e5-user025@acme.example,2026-04-15,4194304000
e5-user026@acme.example,2026-04-14,4194304000
e5-user027@acme.example,2026-04-13,4194304000
e5-user028@acme.example,2026-04-14,4194304000
e5-user029@acme.example,2026-04-08,4194304000
e5-user030@acme.example,2026-04-15,4194304000
e5-user031@acme.example,2026-04-14,4194304000
e5-user032@acme.example,2026-04-16,4194304000
e5-user033@acme.example,2026-04-10,4194304000
e5-user034@acme.example,2026-04-09,4194304000
e5-user035@acme.example,2026-04-07,4194304000
e5-user036@acme.example,2026-04-09,4194304000
e5-user037@acme.example,2026-04-12,4194304000
e5-user038@acme.example,2026-04-16,4194304000
e5-user039@acme.example,2026-04-13,4194304000
e5-user040@acme.example,2026-04-12,4194304000
e5-user041@acme.example,2026-04-12,4194304000
e5-user042@acme.example,2026-04-09,4194304000
e5-user043@acme.example,2026-04-15,4194304000
e5-user044@acme.example,2026-04-13,4194304000
e5-user045@acme.example,2026-04-12,4194304000
e5-user046@acme.example,2026-04-07,4194304000
e5-user047@acme.example,2026-04-13,4194304000
e5-user048@acme.example,2026-04-10,4194304000
e5-user049@acme.example,2026-04-15,4194304000
e5-user050@acme.example,2026-04-08,4194304000
e5-user051@acme.example,2026-04-13,4194304000
e5-user052@acme.example,2026-04-14,4194304000
e5-user053@acme.example,2026-04-12,4194304000
e5-user054@acme.example,2026-04-14,4194304000
e5-user055@acme.example,2026-04-15,4194304000
e5-user056@acme.example,2026-04-16,4194304000
e5-user057@acme.example,2026-04-14,4194304000
e5-user058@acme.example,2026-04-12,4194304000
e5-user059@acme.example,2026-04-07,4194304000
e5-user060@acme.example,2026-04-07,4194304000
e5-user061@acme.example,2026-04-12,4194304000
e5-user062@acme.example,2026-04-09,4194304000
e5-user063@acme.example,2026-04-15,4194304000
e5-user064@acme.example,2026-04-09,4194304000
e5-user065@acme.example,2026-04-12,4194304000
e5-user066@acme.example,2026-04-10,4194304000
e5-user067@acme.example,2026-04-12,4194304000
e5-user068@acme.example,2026-04-08,4194304000
e5-user069@acme.example,2026-04-08,4194304000
e5-user070@acme.example,2026-04-09,4194304000
e5-user071@acme.example,2026-04-09,4194304000
e5-user072@acme.example,2026-04-15,4194304000
e5-user073@acme.example,2026-04-07,4194304000
e5-user074@acme.example,2026-04-16,4194304000
e5-user075@acme.example,2026-04-10,4194304000
e5-user076@acme.example,2026-04-11,4194304000
e5-user077@acme.example,2026-04-07,4194304000
e5-user078@acme.example,2026-04-12,4194304000
e5-user079@acme.example,2026-04-16,4194304000
e5-user080@acme.example,2026-04-15,4194304000
e5-user081@acme.example,2026-04-13,4194304000
e5-user082@acme.example,2026-04-07,4194304000
e5-user083@acme.example,2026-04-07,4194304000
e5-user084@acme.example,2026-04-16,4194304000
e5-user085@acme.example,2026-04-12,4194304000
e5-user086@acme.example,2026-04-07,4194304000
e5-user087@acme.example,2026-04-16,4194304000
e5-user088@acme.example,2026-04-14,4194304000
e5-user089@acme.example,2026-04-09,4194304000
e5-user090@acme.example,2026-04-08,4194304000
e5-user091@acme.example,2026-04-09,4194304000
e5-user092@acme.example,2026-04-12,4194304000
e5-user093@acme.example,2026-04-14,4194304000
e5-user094@acme.example,2026-04-07,4194304000
e5-user095@acme.example,2026-04-10,4194304000
e5-user096@acme.example,2026-04-09,4194304000
e5-user097@acme.example,2026-04-15,4194304000
e5-user098@acme.example,2026-04-09,4194304000
e5-user099@acme.example,2026-04-11,4194304000
e3-user000@acme.example,2026-04-10,419430400
e3-user001@acme.example,2026-04-11,419430400
e3-user002@acme.example,2026-04-11,419430400
e3-user003@acme.example,2026-04-15,419430400
e3-user004@acme.example,2026-04-14,419430400
e3-user005@acme.example,2026-04-11,419430400
e3-user006@acme.example,2026-04-10,419430400
e3-user007@acme.example,2026-04-09,419430400
e3-user008@acme.example,2026-04-12,419430400
e3-user009@acme.example,2026-04-10,419430400
e3-user010@acme.example,2026-04-08,419430400
e3-user011@acme.example,2026-04-16,419430400
e3-user012@acme.example,2026-04-09,419430400
e3-user013@acme.example,2026-04-15,419430400
e3-user014@acme.example,2026-04-11,419430400
e3-user015@acme.example,2026-04-12,419430400
e3-user016@acme.example,2026-04-11,419430400
e3-user017@acme.example,2026-04-15,419430400
e3-user018@acme.example,2026-04-10,419430400
e3-user019@acme.example,2026-04-08,419430400
e3-user020@acme.example,2026-04-16,419430400
e3-user021@acme.example,2026-04-08,419430400
e3-user022@acme.example,2026-04-09,419430400
e3-user023@acme.example,2026-04-10,419430400
e3-user024@acme.example,2026-04-16,419430400
e3-user025@acme.example,2026-04-13,419430400
e3-user026@acme.example,2026-04-08,419430400
e3-user027@acme.example,2026-04-11,419430400
e3-user028@acme.example,2026-04-07,419430400
e3-user029@acme.example,2026-04-09,419430400
e3-user030@acme.example,2026-04-09,419430400
e3-user031@acme.example,2026-04-16,419430400
e3-user032@acme.example,2026-04-13,419430400
e3-user033@acme.example,2026-04-12,419430400
e3-user034@acme.example,2026-04-08,419430400
e3-user035@acme.example,2026-04-14,419430400
e3-user036@acme.example,2026-04-12,419430400
e3-user037@acme.example,2026-04-09,419430400
e3-user038@acme.example,2026-04-09,419430400
e3-user039@acme.example,2026-04-15,419430400
e3-user040@acme.example,2026-04-16,419430400
e3-user041@acme.example,2026-04-07,419430400
e3-user042@acme.example,2026-04-13,419430400
e3-user043@acme.example,2026-04-14,419430400
e3-user044@acme.example,2026-04-12,419430400
e3-user045@acme.example,2026-04-08,419430400
e3-user046@acme.example,2026-04-16,419430400
e3-user047@acme.example,2026-04-08,419430400
e3-user048@acme.example,2026-04-10,419430400
e3-user049@acme.example,2026-04-15,419430400
e3-user050@acme.example,2026-04-13,419430400
e3-user051@acme.example,2026-04-15,419430400
e3-user052@acme.example,2026-04-09,419430400
e3-user053@acme.example,2026-04-15,419430400
e3-user054@acme.example,2026-04-14,419430400
e3-user055@acme.example,2026-04-09,419430400
e3-user056@acme.example,2026-04-12,419430400
e3-user057@acme.example,2026-04-08,419430400
e3-user058@acme.example,2026-04-12,419430400
e3-user059@acme.example,2026-04-10,419430400
e3-user060@acme.example,2026-04-09,419430400
e3-user061@acme.example,2026-04-09,419430400
e3-user062@acme.example,2026-04-13,419430400
e3-user063@acme.example,2026-04-09,419430400
e3-user064@acme.example,2026-04-08,419430400
e3-user065@acme.example,2026-04-14,419430400
e3-user066@acme.example,2026-04-10,419430400
e3-user067@acme.example,2026-04-13,419430400
e3-user068@acme.example,2026-04-07,419430400
e3-user069@acme.example,2026-04-08,419430400
e3-user070@acme.example,2026-04-14,419430400
e3-user071@acme.example,2026-04-15,419430400
e3-user072@acme.example,2026-04-12,419430400
e3-user073@acme.example,2026-04-10,419430400
e3-user074@acme.example,2026-04-11,419430400
e3-user075@acme.example,2026-04-08,419430400
e3-user076@acme.example,2026-04-12,419430400
e3-user077@acme.example,2026-04-16,419430400
e3-user078@acme.example,2026-04-12,419430400
e3-user079@acme.example,2026-04-12,419430400
e3-user080@acme.example,2026-04-07,4194304000
e3-user081@acme.example,2026-04-07,4194304000
e3-user082@acme.example,2026-04-09,4194304000
e3-user083@acme.example,2026-04-14,4194304000
e3-user084@acme.example,2026-04-09,4194304000
e3-user085@acme.example,2026-04-08,4194304000
e3-user086@acme.example,2026-04-09,4194304000
e3-user087@acme.example,2026-04-11,4194304000
e3-user088@acme.example,2026-04-11,4194304000
e3-user089@acme.example,2026-04-08,4194304000
e3-user090@acme.example,2026-04-08,4194304000
e3-user091@acme.example,2026-04-10,4194304000
e3-user092@acme.example,2026-04-09,4194304000
e3-user093@acme.example,2026-04-11,4194304000
e3-user094@acme.example,2026-04-13,4194304000
e3-user095@acme.example,2026-04-13,4194304000
e3-user096@acme.example,2026-04-07,4194304000
e3-user097@acme.example,2026-04-10,4194304000
e3-user098@acme.example,2026-04-13,4194304000
e3-user099@acme.example,2026-04-10,4194304000
e3-user100@acme.example,2026-04-16,4194304000
e3-user101@acme.example,2026-04-11,4194304000
e3-user102@acme.example,2026-04-09,4194304000
e3-user103@acme.example,2026-04-10,4194304000
e3-user104@acme.example,2026-04-10,4194304000
e3-user105@acme.example,2026-04-14,4194304000
e3-user106@acme.example,2026-04-09,4194304000
e3-user107@acme.example,2026-04-16,4194304000
e3-user108@acme.example,2026-04-14,4194304000
e3-user109@acme.example,2026-04-08,4194304000
e3-user110@acme.example,2026-04-07,4194304000
e3-user111@acme.example,2026-04-11,4194304000
e3-user112@acme.example,2026-04-15,4194304000
e3-user113@acme.example,2026-04-09,4194304000
e3-user114@acme.example,2026-04-15,4194304000
e3-user115@acme.example,2026-04-08,4194304000
e3-user116@acme.example,2026-04-09,4194304000
e3-user117@acme.example,2026-04-16,4194304000
e3-user118@acme.example,2026-04-14,4194304000
e3-user119@acme.example,2026-04-10,4194304000
e3-user120@acme.example,2026-04-14,4194304000
e3-user121@acme.example,2026-04-15,4194304000
e3-user122@acme.example,2026-04-09,4194304000
e3-user123@acme.example,2026-04-12,4194304000
e3-user124@acme.example,2026-04-11,4194304000
e3-user125@acme.example,2026-04-07,4194304000
e3-user126@acme.example,2026-04-10,4194304000
e3-user127@acme.example,2026-04-15,4194304000
e3-user128@acme.example,2026-04-11,4194304000
e3-user129@acme.example,2026-04-08,4194304000
e3-user130@acme.example,2026-04-10,4194304000
e3-user131@acme.example,2026-04-11,4194304000
e3-user132@acme.example,2026-04-09,4194304000
e3-user133@acme.example,2026-04-08,4194304000
e3-user134@acme.example,2026-04-16,4194304000
e3-user135@acme.example,2026-04-07,4194304000
e3-user136@acme.example,2026-04-15,4194304000
e3-user137@acme.example,2026-04-13,4194304000
e3-user138@acme.example,2026-04-12,4194304000
e3-user139@acme.example,2026-04-13,4194304000
e3-user140@acme.example,2026-04-15,4194304000
e3-user141@acme.example,2026-04-10,4194304000
e3-user142@acme.example,2026-04-15,4194304000
e3-user143@acme.example,2026-04-15,4194304000
e3-user144@acme.example,2026-04-09,4194304000
e3-user145@acme.example,2026-04-14,4194304000
e3-user146@acme.example,2026-04-12,4194304000
e3-user147@acme.example,2026-04-16,4194304000
e3-user148@acme.example,2026-04-16,4194304000
e3-user149@acme.example,2026-04-11,4194304000
e3-user150@acme.example,2026-04-16,4194304000
e3-user151@acme.example,2026-04-12,4194304000
e3-user152@acme.example,2026-04-11,4194304000
e3-user153@acme.example,2026-04-11,4194304000
e3-user154@acme.example,2026-04-10,4194304000
e3-user155@acme.example,2026-04-14,4194304000
e3-user156@acme.example,2026-04-13,4194304000
e3-user157@acme.example,2026-04-08,4194304000
e3-user158@acme.example,2026-04-10,4194304000
e3-user159@acme.example,2026-04-07,4194304000
e3-user160@acme.example,2026-04-14,4194304000
e3-user161@acme.example,2026-04-14,4194304000
e3-user162@acme.example,2026-04-14,4194304000
e3-user163@acme.example,2026-04-15,4194304000
e3-user164@acme.example,2026-04-07,4194304000
e3-user165@acme.example,2026-04-10,4194304000
e3-user166@acme.example,2026-04-07,4194304000
e3-user167@acme.example,2026-04-13,4194304000
e3-user168@acme.example,2026-04-09,4194304000
e3-user169@acme.example,2026-04-07,4194304000
e3-user170@acme.example,2026-04-14,4194304000
e3-user171@acme.example,2026-04-13,4194304000
e3-user172@acme.example,2026-04-09,4194304000
e3-user173@acme.example,2026-04-12,4194304000
