Owner Principal Name,Last Activity Date,Storage Used (Byte)
e5-user000@acme.example,2026-04-09,9733744766
e5-user001@acme.example,2026-04-09,8492881409
e5-user002@acme.example,2026-04-09,8576582852
e5-user003@acme.example,2026-04-15,9518070736
e5-user004@acme.example,2026-04-13,10506320642
e5-user005@acme.example,2026-04-12,6984775299
e5-user006@acme.example,2026-04-12,6118310835
e5-user007@acme.example,2026-04-09,5388581642
e5-user008@acme.example,2026-04-09,10509576167
e5-user009@acme.example,2026-04-15,10304393425
e5-user010@acme.example,2026-04-12,10600589866
e5-user011@acme.example,2026-04-11,13208480788
e5-user012@acme.example,2026-04-16,10205401230
e5-user013@acme.example,2026-04-09,13013804133
e5-user014@acme.example,2026-04-10,10260933812
e5-user015@acme.example,2026-04-13,4540851238
e5-user016@acme.example,2026-04-16,7057175891
e5-user017@acme.example,2026-04-11,9015982585
e5-user018@acme.example,2026-04-15,14330583054
e5-user019@acme.example,2026-04-15,8878598099
e5-user020@acme.example,2026-04-13,13215163181
e5-user021@acme.example,2026-04-07,5925485069
e5-user022@acme.example,2026-04-07,12100644129
e5-user023@acme.example,2026-04-14,11374412969
e5-user024@acme.example,2026-04-13,11160273229
e5-user025@acme.example,2026-04-16,13703477971
e5-user026@acme.example,2026-04-08,10566577473
e5-user027@acme.example,2026-04-08,6842978361
e5-user028@acme.example,2026-04-12,5390751295
e5-user029@acme.example,2026-04-12,6949255926
e5-user030@acme.example,2026-04-08,15492771826
e5-user031@acme.example,2026-04-15,15919145558
e5-user032@acme.example,2026-04-10,4968275228
e5-user033@acme.example,2026-04-12,15059470181
e5-user034@acme.example,2026-04-14,14393048606
e5-user035@acme.example,2026-04-14,12259037459
e5-user036@acme.example,2026-04-11,6438292238
e5-user037@acme.example,2026-04-10,13896132215
e5-user038@acme.example,2026-04-07,9527853133
e5-user039@acme.example,2026-04-10,11369662969
e5-user040@acme.example,2026-04-15,8055284107
e5-user041@acme.example,2026-04-15,11385457036
e5-user042@acme.example,2026-04-12,8411918161
e5-user043@acme.example,2026-04-11,12172413401
e5-user044@acme.example,2026-04-09,9079934299
e5-user045@acme.example,2026-04-16,7438315735
e5-user046@acme.example,2026-04-15,14417016746
e5-user047@acme.example,2026-04-09,12639211773
e5-user048@acme.example,2026-04-11,11401083615
e5-user049@acme.example,2026-04-08,14174760966
e5-user050@acme.example,2026-04-10,8345755412
e5-user051@acme.example,2026-04-09,13849306484
e5-user052@acme.example,2026-04-12,6681296286
e5-user053@acme.example,2026-04-07,7573167508
e5-user054@acme.example,2026-04-09,4903919574
e5-user055@acme.example,2026-04-16,13378440704
e5-user056@acme.example,2026-04-09,3813195561
e5-user057@acme.example,2026-04-14,3431009099
e5-user058@acme.example,2026-04-16,8907151627
e5-user059@acme.example,2026-04-10,16000963867
e5-user060@acme.example,2026-04-14,5828075711
e5-user061@acme.example,2026-04-12,14587612862
e5-user062@acme.example,2026-04-12,5269634483
e5-user063@acme.example,2026-04-11,4423902014
e5-user064@acme.example,2026-04-11,6447466759
e5-user065@acme.example,2026-04-14,11783356310
e5-user066@acme.example,2026-04-12,3888499430
e5-user067@acme.example,2026-04-13,12575514307
e5-user068@acme.example,2026-04-15,8751824030
e5-user069@acme.example,2026-04-16,12288305673
e5-user070@acme.example,2026-04-15,5971136397
e5-user071@acme.example,2026-04-13,4931049272
e5-user072@acme.example,2026-04-09,9914213729
e5-user073@acme.example,2026-04-11,3340886880
e5-user074@acme.example,2026-04-10,13749595115
e5-user075@acme.example,2026-04-09,12163746828
e5-user076@acme.example,2026-04-10,4133841237
e5-user077@acme.example,2026-04-15,4372247686
e5-user078@acme.example,2026-04-11,4550967102
e5-user079@acme.example,2026-04-14,14572682236
e5-user080@acme.example,2026-04-14,8152548650
e5-user081@acme.example,2026-04-14,11487871199
e5-user082@acme.example,2026-04-07,4102702322
e5-user083@acme.example,2026-04-14,3330421690
e5-user084@acme.example,2026-04-13,8891863329
e5-user085@acme.example,2026-04-14,11313975143
e5-user086@acme.example,2026-04-07,15073971015
e5-user087@acme.example,2026-04-13,12067563210
e5-user088@acme.example,2026-04-15,4338192278
e5-user089@acme.example,2026-04-15,5025281064
e5-user090@acme.example,2026-04-10,10817827558
e5-user091@acme.example,2026-04-10,7750727708
e5-user092@acme.example,2026-04-14,7273574379
e5-user093@acme.example,2026-04-15,6413928602
e5-user094@acme.example,2026-04-07,6418833269
e5-user095@acme.example,2026-04-07,10952267973
e5-user096@acme.example,2026-04-16,6892402154
e5-user097@acme.example,2026-04-12,14146232049
e5-user098@acme.example,2026-04-07,5868373393
e5-user099@acme.example,2026-04-10,9786373746
e3-user000@acme.example,2026-04-12,536870912
e3-user001@acme.example,2026-04-16,536870912
e3-user002@acme.example,2026-04-13,536870912
e3-user003@acme.example,2026-04-09,536870912
e3-user004@acme.example,2026-04-10,536870912
e3-user005@acme.example,2026-04-15,536870912
e3-user006@acme.example,2026-04-13,536870912
e3-user007@acme.example,2026-04-09,536870912
e3-user008@acme.example,2026-04-07,536870912
e3-user009@acme.example,2026-04-15,536870912
e3-user010@acme.example,2026-04-08,536870912
e3-user011@acme.example,2026-04-16,536870912
e3-user012@acme.example,2026-04-11,536870912
e3-user013@acme.example,2026-04-11,536870912
e3-user014@acme.example,2026-04-14,536870912
e3-user015@acme.example,2026-04-10,536870912
e3-user016@acme.example,2026-04-07,536870912
e3-user017@acme.example,2026-04-10,536870912
e3-user018@acme.example,2026-04-11,536870912
e3-user019@acme.example,2026-04-08,536870912
e3-user020@acme.example,2026-04-14,536870912
e3-user021@acme.example,2026-04-09,536870912
e3-user022@acme.example,2026-04-15,536870912
e3-user023@acme.example,2026-04-16,536870912
e3-user024@acme.example,2026-04-07,536870912
e3-user025@acme.example,2026-04-15,536870912
e3-user026@acme.example,2026-04-16,536870912
e3-user027@acme.example,2026-04-12,536870912
e3-user028@acme.example,2026-04-13,536870912
e3-user029@acme.example,2026-04-16,536870912
e3-user030@acme.example,2026-04-16,536870912
e3-user031@acme.example,2026-04-10,536870912
e3-user032@acme.example,2026-04-08,536870912
e3-user033@acme.example,2026-04-12,536870912
e3-user034@acme.example,2026-04-08,536870912
e3-user035@acme.example,2026-04-10,536870912
e3-user036@acme.example,2026-04-10,536870912
e3-user037@acme.example,2026-04-10,536870912
e3-user038@acme.example,2026-04-15,536870912
e3-user039@acme.example,2026-04-08,536870912
e3-user040@acme.example,2026-04-08,536870912
e3-user041@acme.example,2026-04-07,536870912
e3-user042@acme.example,2026-04-14,536870912
e3-user043@acme.example,2026-04-12,536870912
e3-user044@acme.example,2026-04-15,536870912
e3-user045@acme.example,2026-04-12,536870912
e3-user046@acme.example,2026-04-15,536870912
e3-user047@acme.example,2026-04-08,536870912
e3-user048@acme.example,2026-04-13,536870912
e3-user049@acme.example,2026-04-14,536870912
e3-user050@acme.example,2026-04-08,536870912
e3-user051@acme.example,2026-04-11,536870912
e3-user052@acme.example,2026-04-10,536870912
e3-user053@acme.example,2026-04-07,536870912
e3-user054@acme.example,2026-04-15,536870912
e3-user055@acme.example,2026-04-12,536870912
e3-user056@acme.example,2026-04-10,536870912
e3-user057@acme.example,2026-04-13,536870912
e3-user058@acme.example,2026-04-16,536870912
e3-user059@acme.example,2026-04-13,536870912
e3-user060@acme.example,2026-04-15,536870912
e3-user061@acme.example,2026-04-10,536870912
e3-user062@acme.example,2026-04-15,536870912
e3-user063@acme.example,2026-04-09,536870912
e3-user064@acme.example,2026-04-07,536870912
e3-user065@acme.example,2026-04-07,536870912
e3-user066@acme.example,2026-04-16,536870912
e3-user067@acme.example,2026-04-12,536870912
e3-user068@acme.example,2026-04-14,536870912
e3-user069@acme.example,2026-04-15,536870912
e3-user070@acme.example,2026-04-16,536870912
e3-user071@acme.example,2026-04-14,536870912
e3-user072@acme.example,2026-04-16,536870912
e3-user073@acme.example,2026-04-14,536870912
e3-user074@acme.example,2026-04-09,536870912
e3-user075@acme.example,2026-04-11,536870912
e3-user076@acme.example,2026-04-08,536870912
e3-user077@acme.example,2026-04-08,536870912
e3-user078@acme.example,2026-04-12,536870912
e3-user079@acme.example,2026-04-14,536870912
e3-user080@acme.example,2026-04-12,8012726604
e3-user081@acme.example,2026-04-15,12665031829
e3-user082@acme.example,2026-04-16,13161029078
e3-user083@acme.example,2026-04-10,7537809677
e3-user084@acme.example,2026-04-15,6725668754
e3-user085@acme.example,2026-04-07,6609305924
e3-user086@acme.example,2026-04-09,11306924455
e3-user087@acme.example,2026-04-11,9086404177
e3-user088@acme.example,2026-04-07,3935552975
e3-user089@acme.example,2026-04-14,5371475843
e3-user090@acme.example,2026-04-15,6508371146
e3-user091@acme.example,2026-04-15,14743786327
e3-user092@acme.example,2026-04-08,6164194055
e3-user093@acme.example,2026-04-16,3254320420
e3-user094@acme.example,2026-04-09,6372246916
e3-user095@acme.example,2026-04-14,7911026916
e3-user096@acme.example,2026-04-16,5527119545
e3-user097@acme.example,2026-04-10,10344834029
e3-user098@acme.example,2026-04-13,6114083262
e3-user099@acme.example,2026-04-11,8584650903
e3-user100@acme.example,2026-04-15,6716357647
e3-user101@acme.example,2026-04-15,10585410275
e3-user102@acme.example,2026-04-16,9689973760
e3-user103@acme.example,2026-04-08,5532059829
e3-user104@acme.example,2026-04-10,15866646820
e3-user105@acme.example,2026-04-09,4109335860
e3-user106@acme.example,2026-04-12,14379965787
e3-user107@acme.example,2026-04-08,7438465736
e3-user108@acme.example,2026-04-11,9106355136
e3-user109@acme.example,2026-04-07,5806853595
e3-user110@acme.example,2026-04-07,13329523997
e3-user111@acme.example,2026-04-11,6346896428
