User Principal Name,Last Activity Date,Viewed or Edited Report Count
e5-user000@acme.example,2026-04-07,26
e5-user001@acme.example,2026-04-07,7
e5-user002@acme.example,2026-04-16,33
e5-user003@acme.example,2026-04-11,36
e5-user004@acme.example,2026-04-07,39
e5-user005@acme.example,2026-04-12,20
e5-user006@acme.example,2026-04-15,31
e5-user007@acme.example,2026-04-15,22
e5-user008@acme.example,2026-04-12,41
e5-user009@acme.example,2026-04-11,18
e5-user010@acme.example,2026-04-12,42
e5-user011@acme.example,2026-04-12,13
e5-user012@acme.example,2026-04-14,34
e5-user013@acme.example,2026-04-13,4
e5-user014@acme.example,2026-04-07,26
e5-user015@acme.example,2026-04-11,44
e5-user016@acme.example,2026-04-14,47
e5-user017@acme.example,2026-04-16,42
e5-user018@acme.example,2026-04-09,19
e5-user019@acme.example,2026-04-12,27
e5-user020@acme.example,2026-04-10,25
e5-user021@acme.example,2026-04-16,38
e5-user022@acme.example,2026-04-07,13
e5-user023@acme.example,2026-04-11,47
e5-user024@acme.example,2026-04-13,44
e5-user025@acme.example,2026-04-08,41
e5-user026@acme.example,2026-04-09,43
e5-user027@acme.example,2026-04-11,33
e5-user028@acme.example,2026-04-12,11
e5-user029@acme.example,2026-04-08,12
e5-user030@acme.example,2026-04-12,7
e5-user031@acme.example,2026-04-09,9
e5-user032@acme.example,2026-04-12,47
e5-user033@acme.example,2026-04-08,49
e5-user034@acme.example,2026-04-14,44
e5-user035@acme.example,2026-04-11,42
e5-user036@acme.example,2026-04-15,15
e5-user037@acme.example,2026-04-11,15
e5-user038@acme.example,2026-04-12,27
e5-user039@acme.example,2026-04-11,24
e5-user040@acme.example,,0
e5-user041@acme.example,,0
e5-user042@acme.example,,0
e5-user043@acme.example,,0
e5-user044@acme.example,,0
e5-user045@acme.example,,0
e5-user046@acme.example,,0
e5-user047@acme.example,,0
e5-user048@acme.example,,0
e5-user049@acme.example,,0
e5-user050@acme.example,,0
e5-user051@acme.example,,0
e5-user052@acme.example,,0
e5-user053@acme.example,,0
e5-user054@acme.example,,0
e5-user055@acme.example,,0
e5-user056@acme.example,,0
e5-user057@acme.example,,0
e5-user058@acme.example,,0
e5-user059@acme.example,,0
e5-user060@acme.example,,0
e5-user061@acme.example,,0
e5-user062@acme.example,,0
e5-user063@acme.example,,0
e5-user064@acme.example,,0
e5-user065@acme.example,,0
e5-user066@acme.example,,0
e5-user067@acme.example,,0
e5-user068@acme.example,,0
e5-user069@acme.example,,0
e5-user070@acme.example,,0
e5-user071@acme.example,,0
e5-user072@acme.example,,0
e5-user073@acme.example,,0
e5-user074@acme.example,,0
e5-user075@acme.example,,0
e5-user076@acme.example,,0
e5-user077@acme.example,,0
e5-user078@acme.example,,0
e5-user079@acme.example,,0
e5-user080@acme.example,,0
e5-user081@acme.example,,0
e5-user082@acme.example,,0
e5-user083@acme.example,,0
e5-user084@acme.example,,0
e5-user085@acme.example,,0
e5-user086@acme.example,,0
e5-user087@acme.example,,0
e5-user088@acme.example,,0
e5-user089@acme.example,,0
e5-user090@acme.example,,0
e5-user091@acme.example,,0
e5-user092@acme.example,,0
e5-user093@acme.example,,0
e5-user094@acme.example,,0
e5-user095@acme.example,,0
e5-user096@acme.example,,0
e5-user097@acme.example,,0
e5-user098@acme.example,,0
e5-user099@acme.example,,0
e3-user000@acme.example,,0
e3-user001@acme.example,,0
e3-user002@acme.example,,0
e3-user003@acme.example,,0
e3-user004@acme.example,,0
e3-user005@acme.example,,0
e3-user006@acme.example,,0
e3-user007@acme.example,,0
e3-user008@acme.example,,0
e3-user009@acme.example,,0
e3-user010@acme.example,,0
e3-user011@acme.example,,0
e3-user012@acme.example,,0
e3-user013@acme.example,,0
e3-user014@acme.example,,0
e3-user015@acme.example,,0
e3-user016@acme.example,,0
e3-user017@acme.example,,0
e3-user018@acme.example,,0
e3-user019@acme.example,,0
e3-user020@acme.example,,0
e3-user021@acme.example,,0
e3-user022@acme.example,,0
e3-user023@acme.example,,0
e3-user024@acme.example,,0
e3-user025@acme.example,,0
e3-user026@acme.example,,0
e3-user027@acme.example,,0
e3-user028@acme.example,,0
e3-user029@acme.example,,0
e3-user030@acme.example,,0
e3-user031@acme.example,,0
e3-user032@acme.example,,0
e3-user033@acme.example,,0
e3-user034@acme.example,,0
e3-user035@acme.example,,0
e3-user036@acme.example,,0
e3-user037@acme.example,,0
e3-user038@acme.example,,0
e3-user039@acme.example,,0
e3-user040@acme.example,,0
e3-user041@acme.example,,0
e3-user042@acme.example,,0
e3-user043@acme.example,,0
e3-user044@acme.example,,0
e3-user045@acme.example,,0
e3-user046@acme.example,,0
e3-user047@acme.example,,0
e3-user048@acme.example,,0
e3-user049@acme.example,,0
e3-user050@acme.example,,0
e3-user051@acme.example,,0
e3-user052@acme.example,,0
e3-user053@acme.example,,0
e3-user054@acme.example,,0
e3-user055@acme.example,,0
