User Principal Name,Last Activity Date,Team Chat Message Count
e5-user000@acme.example,2026-04-13,157
e5-user001@acme.example,2026-04-16,186
e5-user002@acme.example,2026-04-08,77
e5-user003@acme.example,2026-04-09,164
e5-user004@acme.example,2026-04-16,15
e5-user005@acme.example,2026-04-09,102
e5-user006@acme.example,2026-04-10,175
e5-user007@acme.example,2026-04-15,125
e5-user008@acme.example,2026-04-09,18
e5-user009@acme.example,2026-04-15,82
e5-user010@acme.example,2026-04-07,37
e5-user011@acme.example,2026-04-15,32
e5-user012@acme.example,2026-04-12,159
e5-user013@acme.example,2026-04-07,140
e5-user014@acme.example,2026-04-11,97
e5-user015@acme.example,2026-04-07,135
e5-user016@acme.example,2026-04-12,116
e5-user017@acme.example,2026-04-08,154
e5-user018@acme.example,2026-04-10,25
e5-user019@acme.example,2026-04-15,167
e5-user020@acme.example,2026-04-08,184
e5-user021@acme.example,2026-04-13,110
e5-user022@acme.example,2026-04-09,58
e5-user023@acme.example,2026-04-10,86
e5-user024@acme.example,2026-04-09,102
e5-user025@acme.example,2026-04-10,186
e5-user026@acme.example,2026-04-15,80
e5-user027@acme.example,2026-04-10,80
e5-user028@acme.example,2026-04-12,95
e5-user029@acme.example,2026-04-14,175
e5-user030@acme.example,2026-04-09,17
e5-user031@acme.example,2026-04-15,21
e5-user032@acme.example,2026-04-15,110
e5-user033@acme.example,2026-04-15,190
e5-user034@acme.example,2026-04-11,33
e5-user035@acme.example,2026-04-08,15
e5-user036@acme.example,2026-04-07,143
e5-user037@acme.example,2026-04-08,84
e5-user038@acme.example,2026-04-15,105
e5-user039@acme.example,2026-04-11,170
e5-user040@acme.example,2026-04-10,184
e5-user041@acme.example,2026-04-16,73
e5-user042@acme.example,2026-04-07,79
e5-user043@acme.example,2026-04-11,26
e5-user044@acme.example,2026-04-07,129
e5-user045@acme.example,2026-04-13,39
e5-user046@acme.example,2026-04-09,57
e5-user047@acme.example,2026-04-15,89
e5-user048@acme.example,2026-04-08,94
e5-user049@acme.example,2026-04-15,195
e5-user050@acme.example,2026-04-12,146
e5-user051@acme.example,2026-04-13,109
e5-user052@acme.example,2026-04-08,196
e5-user053@acme.example,2026-04-07,157
e5-user054@acme.example,2026-04-08,6
e5-user055@acme.example,2026-04-07,168
e5-user056@acme.example,2026-04-12,7
e5-user057@acme.example,2026-04-14,69
e5-user058@acme.example,2026-04-12,86
e5-user059@acme.example,2026-04-11,1
e5-user060@acme.example,2026-04-14,36
e5-user061@acme.example,2026-04-07,168
e5-user062@acme.example,2026-04-10,17
e5-user063@acme.example,2026-04-14,189
e5-user064@acme.example,2026-04-16,23
e5-user065@acme.example,2026-04-08,55
e5-user066@acme.example,2026-04-10,107
e5-user067@acme.example,2026-04-09,87
e5-user068@acme.example,2026-04-14,94
e5-user069@acme.example,2026-04-12,184
e5-user070@acme.example,2026-04-11,198
e5-user071@acme.example,2026-04-07,152
e5-user072@acme.example,2026-04-15,13
e5-user073@acme.example,2026-04-14,40
e5-user074@acme.example,2026-04-07,12
e5-user075@acme.example,2026-04-15,69
e5-user076@acme.example,2026-04-09,169
e5-user077@acme.example,2026-04-10,124
e5-user078@acme.example,2026-04-07,113
e5-user079@acme.example,2026-04-10,69
e5-user080@acme.example,2026-04-13,193
e5-user081@acme.example,2026-04-08,29
e5-user082@acme.example,2026-04-11,110
e5-user083@acme.example,2026-04-15,72
e5-user084@acme.example,2026-04-07,124
e5-user085@acme.example,2026-04-08,170
e5-user086@acme.example,2026-04-12,11
e5-user087@acme.example,2026-04-13,101
e5-user088@acme.example,2026-04-07,14
e5-user089@acme.example,2026-04-16,52
e5-user090@acme.example,2026-04-12,54
e5-user091@acme.example,2026-04-14,195
e5-user092@acme.example,2026-04-12,74
e5-user093@acme.example,2026-04-11,30
e5-user094@acme.example,2026-04-16,127
e5-user095@acme.example,2026-04-10,44
e5-user096@acme.example,2026-04-14,97
e5-user097@acme.example,2026-04-08,180
e5-user098@acme.example,2026-04-13,128
e5-user099@acme.example,2026-04-08,171
e3-user000@acme.example,2026-04-11,18
e3-user001@acme.example,2026-04-10,189
e3-user002@acme.example,2026-04-16,111
e3-user003@acme.example,2026-04-16,117
e3-user004@acme.example,2026-04-15,80
e3-user005@acme.example,2026-04-07,109
e3-user006@acme.example,2026-04-07,103
e3-user007@acme.example,2026-04-10,74
e3-user008@acme.example,2026-04-15,103
e3-user009@acme.example,2026-04-16,83
e3-user010@acme.example,2026-04-14,158
e3-user011@acme.example,2026-04-09,176
e3-user012@acme.example,2026-04-11,22
e3-user013@acme.example,2026-04-10,27
e3-user014@acme.example,2026-04-13,111
e3-user015@acme.example,2026-04-07,102
e3-user016@acme.example,2026-04-08,20
e3-user017@acme.example,2026-04-10,79
e3-user018@acme.example,2026-04-11,56
e3-user019@acme.example,2026-04-11,199
e3-user020@acme.example,2026-04-14,19
e3-user021@acme.example,2026-04-08,162
e3-user022@acme.example,2026-04-15,135
e3-user023@acme.example,2026-04-08,49
e3-user024@acme.example,2026-04-11,89
e3-user025@acme.example,2026-04-14,60
